input_token,big,brown,calico,cat,dog,lay,mat,on,red,rug,sat,small,tabby,the
big|cat|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|cat|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|cat|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|cat|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|cat|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|cat|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|cat|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|cat|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|cat|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|cat|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|cat|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|dog|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|dog|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|dog|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|dog|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|dog|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|dog|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|dog|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|dog|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|dog|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|dog|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|dog|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|dog|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|dog|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|dog|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|lay|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|lay|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|lay|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|lay|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|lay|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|lay|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|lay|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|lay|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|lay|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|lay|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|lay|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|lay|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|lay|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|lay|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|mat|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|mat|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|mat|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|mat|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|mat|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|mat|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|mat|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|mat|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|mat|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|mat|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|mat|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|mat|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|mat|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|mat|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|on|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|on|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|on|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|on|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|on|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|on|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|on|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|on|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|on|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|on|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|on|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|on|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|on|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|on|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|red|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|red|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|red|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|red|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|red|dog,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,4.6388,-0.3568,-0.3568,-0.3568
big|red|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|red|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|red|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|red|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|red|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|red|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|red|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|red|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|red|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|rug|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|rug|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|rug|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|rug|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|rug|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|rug|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|rug|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|rug|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|rug|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|rug|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|rug|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|rug|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|rug|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|rug|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|sat|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|sat|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|sat|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|sat|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|sat|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|sat|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|sat|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|sat|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|sat|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|sat|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|sat|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|sat|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|sat|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|sat|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|small|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|small|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|small|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|small|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|small|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|small|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|small|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|small|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|small|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|small|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|small|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|small|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|small|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|small|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|tabby|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|tabby|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|tabby|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|tabby|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|tabby|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|tabby|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|tabby|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|tabby|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|tabby|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|tabby|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|tabby|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|tabby|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|tabby|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|tabby|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|the|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|the|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|the|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|the|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|the|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|the|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|the|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|the|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|the|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|the|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|the|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|the|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|the|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|the|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|big|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|big|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|big|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|big|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|big|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|big|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|big|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|big|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|big|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|big|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|big|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|big|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|big|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|big|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|brown|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|brown|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|brown|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|brown|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|brown|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|brown|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|brown|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|brown|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|brown|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|brown|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|brown|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|brown|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|brown|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|brown|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|calico|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|calico|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|calico|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|calico|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|calico|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|calico|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|calico|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|calico|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|calico|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|calico|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|calico|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|calico|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|calico|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|calico|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|cat|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|cat|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|cat|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|cat|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|cat|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|cat|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|cat|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|cat|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|cat|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|cat|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|cat|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|cat|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|cat|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|cat|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|dog|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|dog|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|dog|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|dog|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|dog|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|dog|lay,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,4.6388,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568,-0.3568
brown|dog|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|dog|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|dog|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|dog|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|dog|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|dog|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|dog|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|dog|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|lay|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|lay|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|lay|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|lay|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|lay|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|lay|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|lay|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|lay|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|lay|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|lay|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|lay|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|lay|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|lay|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|lay|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|mat|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|mat|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|mat|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|mat|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|mat|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|mat|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|mat|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|mat|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|mat|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|mat|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|mat|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|mat|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|mat|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|mat|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|on|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|on|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|on|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|on|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|on|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|on|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|on|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|on|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|on|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|on|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|on|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|on|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|on|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|on|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|red|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|red|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|red|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|red|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|red|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|red|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|red|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|red|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|red|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|red|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|red|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|red|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|red|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|red|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|rug|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|rug|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|rug|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|rug|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|rug|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|rug|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|rug|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|rug|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|rug|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|rug|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|rug|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|rug|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|rug|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|rug|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|sat|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|sat|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|sat|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|sat|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|sat|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|sat|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|sat|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|sat|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|sat|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|sat|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|sat|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|sat|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|sat|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|sat|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|small|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|small|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|small|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|small|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|small|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|small|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|small|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|small|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|small|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|small|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|small|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|small|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|small|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|small|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|tabby|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|tabby|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|tabby|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|tabby|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|tabby|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|tabby|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|tabby|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|tabby|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|tabby|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|tabby|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|tabby|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|tabby|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|tabby|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|tabby|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|the|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|the|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|the|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|the|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|the|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown|the|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
